# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 1608, mean observations per image: 3658.31
1801 0.265457 0.177693 0.93239 0.169137 1.38732 -3.33019 2.98034 1801 frame_0000002720_1.jpg
1800 0.272186 0.179709 0.92893 0.175241 1.32629 -3.36814 2.96235 1800 frame_0000002715_1.jpg
1799 0.27611 0.181893 0.926865 0.177764 1.28447 -3.38949 2.95543 1799 frame_0000002710_1.jpg
1798 0.278789 0.182846 0.925513 0.179641 1.25898 -3.40223 2.95025 1798 frame_0000002705_1.jpg
1797 0.279231 0.183086 0.925299 0.179807 1.25439 -3.40356 2.94968 1797 frame_0000002700_1.jpg
1796 0.279873 0.183232 0.925175 0.179298 1.24856 -3.40111 2.95486 1796 frame_0000002695_1.jpg
1795 0.279979 0.183794 0.924765 0.180669 1.2451 -3.40989 2.94487 1795 frame_0000002690_1.jpg
1794 0.280768 0.185223 0.924124 0.181266 1.23115 -3.41851 2.94011 1794 frame_0000002685_1.jpg
1793 0.280295 0.18687 0.923582 0.183059 1.22549 -3.43416 2.92278 1793 frame_0000002680_1.jpg
1792 0.282984 0.187078 0.922288 0.185218 1.20533 -3.44485 2.9192 1792 frame_0000002675_1.jpg
1791 0.284653 0.186828 0.921429 0.187181 1.19534 -3.45275 2.91211 1791 frame_0000002670_1.jpg
1790 0.283561 0.185003 0.921906 0.1883 1.21448 -3.45091 2.90642 1790 frame_0000002665_1.jpg
1789 0.282979 0.185183 0.921873 0.18916 1.21691 -3.45628 2.89852 1789 frame_0000002660_1.jpg
1788 0.282736 0.184884 0.92169 0.190698 1.21966 -3.46261 2.88833 1788 frame_0000002655_1.jpg
1787 0.282135 0.186189 0.921324 0.192081 1.21508 -3.47484 2.8731 1787 frame_0000002650_1.jpg
1786 0.281667 0.186369 0.921951 0.189571 1.21365 -3.46306 2.88555 1786 frame_0000002645_1.jpg
1785 0.282112 0.18727 0.922522 0.185194 1.20083 -3.44419 2.91147 1785 frame_0000002640_1.jpg
1784 0.279074 0.187755 0.92409 0.181449 1.21781 -3.42662 2.92146 1784 frame_0000002635_1.jpg
1783 0.276312 0.188231 0.923714 0.18701 1.23654 -3.45564 2.87481 1783 frame_0000002630_1.jpg
1782 0.284367 0.189457 0.920148 0.191231 1.16878 -3.47914 2.86987 1782 frame_0000002625_1.jpg
1781 0.283891 0.187498 0.921384 0.187887 1.18231 -3.45328 2.8936 1781 frame_0000002620_1.jpg
1780 0.279855 0.191572 0.921256 0.190445 1.18822 -3.48268 2.85352 1780 frame_0000002615_1.jpg
1779 0.2829 0.196048 0.919593 0.189422 1.13723 -3.49488 2.85803 1779 frame_0000002610_1.jpg
1778 0.282611 0.195397 0.919982 0.188638 1.14242 -3.48792 2.862 1778 frame_0000002605_1.jpg
1777 0.292389 0.194056 0.916541 0.191842 1.07832 -3.49544 2.87563 1777 frame_0000002600_1.jpg
1776 0.285883 0.195397 0.918105 0.192805 1.11961 -3.50581 2.84513 1776 frame_0000002595_1.jpg
1775 0.281194 0.197512 0.918889 0.193811 1.14129 -3.51914 2.81642 1775 frame_0000002590_1.jpg
1774 0.283012 0.197199 0.918425 0.193679 1.12917 -3.51545 2.82382 1774 frame_0000002585_1.jpg
1773 0.284078 0.198079 0.91712 0.19737 1.11477 -3.53484 2.79892 1773 frame_0000002580_1.jpg
